,model,epoch,factor,train_loss,test_loss,HR@10,NDCG@10
88,NMF,8,8,0.25568217039108276,0.21834169947203028,0.5447019867549668,0.24672782145670227
89,NMF,9,8,0.26063807904720304,0.21686098159272346,0.5443708609271524,0.2465485849578103
90,NMF,0,16,0.3586647093296051,0.31128573060060377,0.5649006622516556,0.25717267932814836
91,NMF,1,16,0.2683428078889847,0.27798301090073113,0.572682119205298,0.2589627680031689
92,NMF,2,16,0.24704722464084625,0.2644172391909736,0.5754966887417219,0.2613973387987601
93,NMF,3,16,0.23541838824748992,0.25735366324283526,0.5743377483443709,0.26054045565676465
94,NMF,4,16,0.2359836906194687,0.2527407650730961,0.572682119205298,0.2599619546686597
95,NMF,5,16,0.24921428859233857,0.24936248728549046,0.5731788079470199,0.2605088628611847
96,NMF,6,16,0.24784154295921326,0.24659382344365416,0.5748344370860927,0.26092049916150056
97,NMF,7,16,0.22385278940200806,0.24400379480177303,0.5745033112582781,0.2610276385394975
98,NMF,8,16,0.23303100764751433,0.2420019300130276,0.575,0.261283402536314
99,NMF,9,16,0.23435384333133696,0.2398807134485452,0.5748344370860927,0.26124293690214634
100,NMF,0,32,0.5605095744132995,0.40958544970890937,0.47052980132450334,0.21411219323915376
101,NMF,1,32,0.33994872570037843,0.37468910355688323,0.5076158940397351,0.23181176058349393
102,NMF,2,32,0.31223050951957704,0.35508722015193955,0.5281456953642384,0.24115033762983754
103,NMF,3,32,0.28984181880950927,0.34090667979804096,0.5445364238410596,0.24871935277752552
104,NMF,4,32,0.27518855333328246,0.3299348697127984,0.553476821192053,0.2523200497272556
105,NMF,5,32,0.2691332221031189,0.32118666624983416,0.5596026490066225,0.2556640482163598
106,NMF,6,32,0.2584995746612549,0.31417038151870996,0.5644039735099338,0.2580545563948739
107,NMF,7,32,0.2507996469736099,0.30848818943829626,0.5665562913907285,0.2592018656891751
108,NMF,8,32,0.2544452279806137,0.30396199747488295,0.5658940397350993,0.258953212099893
109,NMF,9,32,0.24675295352935792,0.30035673481110015,0.5683774834437086,0.25967847191532406
110,NMF,0,64,0.4609533965587616,0.3559868199664433,0.45165562913907287,0.20780667559893856
111,NMF,1,64,0.31497507095336913,0.3289296991136295,0.5036423841059603,0.23001669670625646
112,NMF,2,64,0.26213022470474245,0.3180031830506609,0.5216887417218543,0.23815684692521447
113,NMF,3,64,0.24823689758777617,0.3125464242778176,0.5337748344370861,0.24338358947158467
114,NMF,4,64,0.22880759239196777,0.3098378467675767,0.5392384105960265,0.2463041987023425
115,NMF,5,64,0.21973851025104524,0.30880307731224804,0.5377483443708609,0.24528315251798982
116,NMF,6,64,0.22608035206794738,0.3088129964108203,0.5385761589403973,0.24647116848368325
117,NMF,7,64,0.20933733582496644,0.3095250409127318,0.5392384105960265,0.24654241982011577
118,NMF,8,64,0.19794880747795104,0.31074862599261843,0.5395695364238411,0.24562170071476738
119,NMF,9,64,0.19641757607460023,0.3123625715398877,0.5384105960264901,0.24415568431503515
